Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2021-10-31,"La Mala Vida","La Unión",https://www.shazam.com/track/40371818/la-mala-vida,40371818
2,2021-10-23,"Rest","Michael Kiwanuka",https://www.shazam.com/track/57495354/rest,57495354
3,2021-10-21,"Rap A Balada","Andrés Dvicio",https://www.shazam.com/track/588353719/rap-a-balada,588353719
4,2021-10-07,"Someone Like You","Adele",https://www.shazam.com/track/53080366/someone-like-you,53080366
5,2021-09-29,"Easy","Faith No More",https://www.shazam.com/track/61050025/easy,61050025
6,2021-09-28,"Fly Me to the Moon","Joo Won",https://www.shazam.com/track/586457280/fly-me-to-the-moon,586457280
7,2021-09-09,"Por Debajo De La Mesa","Luis Miguel",https://www.shazam.com/track/526478/por-debajo-de-la-mesa,526478
8,2021-09-08,"Holiday","Hannah Arterton",https://www.shazam.com/track/124172043/holiday,124172043
9,2021-09-04,"Se Dejaba Llevar Por Ti","Antonio Vega",https://www.shazam.com/track/54229899/se-dejaba-llevar-por-ti,54229899
10,2021-09-02,"Your Ace in the Hole","Toxic Vegan",https://www.shazam.com/track/561472794/your-ace-in-the-hole,561472794
11,2021-08-19,"Se Dejaba Llevar Por Ti","Antonio Vega",https://www.shazam.com/track/54229899/se-dejaba-llevar-por-ti,54229899
12,2021-08-11,"Fue Tan Poco Tu Cariño","Rocío Dúrcal",https://www.shazam.com/track/10691502/fue-tan-poco-tu-cari%C3%B1o,10691502
13,2021-08-11,"No Se No Se","Rumba Tres",https://www.shazam.com/track/10066616/no-se-no-se,10066616
14,2021-08-11,"Agapimu","Ana Belén",https://www.shazam.com/track/58602552/agapimu,58602552
15,2021-08-11,"Voy a Perder La Cabeza Por Tu Amor","José Luis Rodríguez",https://www.shazam.com/track/45034306/voy-a-perder-la-cabeza-por-tu-amor,45034306
16,2021-08-11,"Dejame","Los Secretos",https://www.shazam.com/track/47171634/dejame,47171634
17,2021-08-11,"Volver a Tí (Canción Paz Padilla)","Materia Prima",https://www.shazam.com/track/564198615/volver-a-t%C3%AD-canci%C3%B3n-paz-padilla,564198615
18,2021-08-09,"Blank Piece of Paper","Luthea Salom",https://www.shazam.com/track/52766379/blank-piece-of-paper,52766379
19,2021-07-28,"Gotta Get You Home Tonight","Eugene Wilde",https://www.shazam.com/track/10074649/gotta-get-you-home-tonight,10074649
20,2021-07-21,"Fkn Around","Phony Ppl",https://www.shazam.com/track/517474594/fkn-around,517474594
21,2021-06-08,"Sexy Girl","Glenn Frey",https://www.shazam.com/track/281963/sexy-girl,281963
22,2021-06-04,"No M'ho Esperava","Miki Núñez",https://www.shazam.com/track/544770532/no-mho-esperava,544770532
23,2021-05-21,"All Around the World (Long Version)","Lisa Stansfield",https://www.shazam.com/track/55339824/all-around-the-world-long-version,55339824
24,2021-05-20,"Mi Gato","Rosario",https://www.shazam.com/track/40487413/mi-gato,40487413
25,2021-05-16,"I Want To Break Free","Queen",https://www.shazam.com/track/54412660/i-want-to-break-free,54412660
26,2021-05-06,"Amar Y Vivir","Antonio Machín",https://www.shazam.com/track/54831327/amar-y-vivir,54831327
27,2021-05-06,"El Sitio De Mi Recreo","Antonio Vega",https://www.shazam.com/track/10692462/el-sitio-de-mi-recreo,10692462
28,2021-05-06,"Leave The Door Open","Silk Sonic, Bruno Mars & Anderson .Paak",https://www.shazam.com/track/560275260/leave-the-door-open,560275260
29,2021-04-23,"Hungry Heart","Bruce Springsteen",https://www.shazam.com/track/221007/hungry-heart,54446120
30,2021-04-18,"Puppy Love","Paul Anka",https://www.shazam.com/track/76261154/puppy-love,76261154
31,2021-04-14,"Donna (feat. Andrés Dvicio)","Sergio Dalma",https://www.shazam.com/track/498567795/donna-feat-andr%C3%A9s-dvicio,498567795
